"","Fairway Percentage","Avg Distance","gir","Average Putts","Average Scrambling","Average Score","Average SG Putts","Average SG Total","SG:OTT","SG:APR","SG:ARG","Top_25","Top_10"
"116",55.94,313.7,70.83,28.44,65.34,69.161,0.586,2.106,0.772,0.461,0.287,"Yes","Yes"
"119",58.32,310,65.28,28.24,62.35,69.603,0.77,1.285,0.176,-0.14,0.479,"Yes","No"
"120",62.83,293.2,70.15,29.59,56.39,70.212,-0.353,0.488,0.29,0.469,0.081,"No","No"
"122",58.41,307.4,68.66,29.64,58.37,70.57,-0.27,0.56,0.603,0.426,-0.199,"Yes","No"
"123",58.06,309.5,70.37,29.59,55.11,70.444,0.022,0.539,0.36,0.257,-0.101,"Yes","No"
"124",70.45,277.2,65.96,28.46,64.46,70.383,0.25,0.436,0.073,-0.052,0.166,"No","No"
"125",56.57,304.4,69.71,29.68,58.97,70.903,0.098,0.604,0.478,0.15,-0.123,"Yes","No"
"127",65.59,291.1,65.65,29.43,58.96,71.206,-0.278,-0.18,0.466,-0.239,-0.129,"Yes","No"
"128",52.23,301.6,66.09,28.7,57.71,70.268,0.692,0.933,-0.161,0.334,0.068,"No","No"
"129",48.31,301.3,63.96,28.78,57.71,70.393,0.243,0.892,-0.141,0.58,0.21,"Yes","No"
"131",59.2,308.9,70.12,29.14,57.18,69.958,-0.151,0.889,0.817,0.047,0.176,"Yes","No"
"132",62.91,291.8,67.87,27.82,65.03,68.938,0.571,2.154,0.494,0.618,0.471,"Yes","No"
"133",58.14,295.4,63.52,27.82,63.93,69.52,0.758,1.569,0.402,0.145,0.264,"Yes","Yes"
"135",61.55,299.8,70.47,29.09,61.63,69.904,-0.034,0.83,0.271,0.409,0.184,"No","No"
"136",63.87,303.5,70.54,29.17,59.14,69.744,0.023,1.493,0.55,0.692,0.228,"Yes","No"
"137",57.9,303.9,67.92,29.58,58.1,70.148,-0.197,1.128,0.678,0.409,0.237,"Yes","No"
"139",66.02,303.5,69.95,28.67,63.03,68.993,0.424,1.952,0.551,0.526,0.45,"Yes","Yes"
"140",58.24,303.2,68.92,28.64,61.55,70.105,0.042,0.968,0.352,0.385,0.188,"Yes","No"
"141",53.94,301.3,65.63,29.28,55.56,70.571,-0.185,0.32,0.029,0.494,-0.017,"No","No"
"143",58.41,311.8,68.77,28.33,62.47,69.118,0.272,1.835,0.408,0.844,0.311,"Yes","No"
"144",64.85,306.1,67.53,29.49,58.25,70.45,-0.07,1.018,0.436,0.389,0.263,"No","No"
"146",67.9,299.6,69.18,29.68,56.78,70.303,-0.358,0.793,0.237,0.888,0.026,"Yes","Yes"
"147",58.59,312.6,69.42,29.65,56.55,70.92,-0.504,-0.018,0.706,-0.128,-0.092,"No","No"
"148",63.86,293.5,66.02,28.95,59.32,70.672,0.168,0.37,0.16,-0.105,0.148,"Yes","No"
"149",60.68,296.3,66.37,29.04,59.15,70.501,-0.31,0.77,0.321,0.634,0.126,"No","No"
"151",66.85,287.8,66.24,28.72,62.66,70.344,0.24,0.628,0.316,0.141,-0.068,"No","No"
"152",64.92,289,65.19,28.64,56.88,70.489,0.667,0.548,0.347,-0.136,-0.331,"No","No"
"154",66.33,290.8,65.38,28.91,60.29,70.729,0.513,0.037,-0.043,-0.316,-0.118,"No","No"
"155",62.51,280.1,64.56,28.35,62.87,70.121,0.233,0.944,-0.329,0.381,0.66,"Yes","No"
"156",65.3,279.6,66.73,28.84,58.53,70.298,0.074,0.627,-0.322,0.788,0.087,"Yes","No"
"158",64.13,289.6,64.66,28.07,63.62,70.288,0.533,0.801,-0.378,0.273,0.373,"Yes","No"
"159",64.37,289.1,69.17,29.77,52.97,71.054,-0.383,0.064,0.255,0.203,-0.011,"No","No"
"161",65.29,287.3,67.62,29.34,55.95,70.965,0.102,0.148,0.112,0.061,-0.127,"No","No"
"163",71.29,295.7,71.09,29.89,54.8,70.404,0.037,0.686,0.378,0.298,-0.027,"No","No"
"164",59.84,298.8,68.28,29.19,61.3,70.16,-0.22,0.605,0.339,0.397,0.088,"Yes","No"
"165",61.67,294,68.15,29.7,54.21,70.327,-0.021,0.836,0.387,0.3,0.17,"Yes","No"
"167",64.81,299.8,65.74,29.24,64.26,70.157,-0.026,0.521,0.401,-0.261,0.408,"No","No"
"169",56.69,282.9,64.61,28.95,64.15,70.918,0.148,0.378,-0.665,0.465,0.429,"No","No"
"171",54.66,314.6,68.36,29.45,58.41,70.229,-0.467,0.87,0.795,0.194,0.349,"No","No"
"173",60.55,295,65.31,28.85,60.34,70.554,0.252,0.51,0.159,-0.092,0.191,"No","No"
"175",60.17,298.5,66.67,28.94,59.07,70.26,0.126,0.624,-0.006,0.211,0.292,"No","No"
"177",59.7,296,64.05,28.25,61.27,70.812,0.401,0.664,0.249,-0.319,0.333,"No","No"
"178",63.23,288.5,66.55,28.39,63.78,70.04,0.316,1.133,0.136,0.202,0.479,"No","No"
"179",65.67,285.8,67.82,29.02,61.51,69.844,0.381,1.314,0.364,0.326,0.242,"Yes","Yes"
"181",61.08,294,67.34,29.32,58.69,70.68,-0.403,0.258,0.31,0.238,0.112,"Yes","No"
"183",65.7,284.6,67.88,28.71,60,70.666,0.364,0.586,-0.01,0.187,0.045,"No","No"
