"","Top_25","Top_10","Rounds","Fairway Percentage","Avg Distance","gir","Average Putts","Average Scrambling","Average Score","Average SG Putts","Average SG Total","SG:OTT","SG:APR","SG:ARG"
"309","No","No",92,55.59,298.7,69.04,29.53,55.24,70.841,0.03,-0.033,-0.294,0.381,-0.15
"310","Yes","Yes",87,64.16,297.8,72.36,29.77,56.13,69.806,0.014,1.216,0.392,0.991,-0.182
"311","No","No",77,64.67,295.2,70.8,29.69,61.44,69.95,0.112,1.372,0.494,0.616,0.15
"312","Yes","Yes",94,63.46,297,69.96,29.02,64.52,69.469,0.133,1.537,0.349,0.939,0.122
"313","No","No",74,63.14,304.3,67.84,29.07,60.58,69.85,0.133,0.966,0.138,0.586,0.109
"315","No","No",83,52.93,302.2,67.88,29.41,57.87,70.578,0.021,0.268,0.132,-0.04,0.156
"316","No","No",85,55.05,293.5,62.85,28.25,60,70.168,0.337,1.048,-0.058,0.553,0.216
"317","Yes","No",90,52.91,300.3,64.88,28.11,58.36,70.098,0.51,0.931,-0.225,0.555,0.091
"319","No","No",75,67.85,295.1,70.16,29.47,57.98,69.887,0.273,1.112,0.256,0.487,0.096
"320","Yes","Yes",81,56.57,292.6,62.19,29.04,59.35,71.667,0.027,-0.338,-0.271,-0.056,-0.039
"321","No","No",81,65.92,291.2,67.42,29.31,60.6,71.171,0,-0.223,0.203,-0.123,-0.303
"323","Yes","No",78,63.29,300.5,66.98,28.32,62.85,69.083,0.852,1.875,0.378,0.408,0.349
"324","No","No",82,54.1,283.3,60.47,28.31,60,71.647,0.159,-0.396,-0.819,-0.072,0.336
"325","No","No",97,54.27,287.6,65.77,28.52,59.86,70.784,0.386,0.295,-0.518,0.199,0.227
"330","Yes","No",98,57.58,294.3,65.19,29.13,58.91,70.7,0.003,0.078,-0.159,-0.072,0.305
"332","No","No",71,60.83,287.8,64.01,29.97,52.83,71.861,-0.518,-0.677,-0.11,-0.231,0.183
"333","Yes","No",69,61.06,306.8,69.62,29.18,58.7,69.646,-0.207,1.681,1.23,0.447,0.211
"334","No","No",51,54.97,316.7,65.94,28.65,63.12,69.529,-0.304,1.212,0.965,0.322,0.095
"338","No","No",87,64.39,297.1,67.06,29.01,57.43,70.581,0.579,0.462,0.343,-0.269,-0.191
"339","No","No",99,62.79,297.6,67.32,28.99,57.22,70.027,0.434,0.917,0.31,0.196,0
"343","No","No",109,73.58,283.5,68.22,29.31,60.13,70.758,-0.058,0.337,-0.012,0.213,0.194
"344","No","No",100,60.94,284.1,65.28,28.82,60,70.866,0.334,0.047,-0.198,-0.032,-0.057
"346","Yes","No",81,70.05,282.6,65.24,28.51,60.25,70.829,0.16,0.578,0.071,0.246,0.102
"347","Yes","No",86,66.52,283.2,65.78,28.58,60.12,70.317,0.351,0.895,-0.112,0.418,0.237
"348","No","No",82,67.9,288,65.05,29.04,56.74,70.741,-0.017,0.301,-0.006,0.498,-0.173
"350","Yes","Yes",69,59.11,305.2,65.61,28.92,55.38,71.031,-0.528,-0.231,0.235,0.236,-0.174
"352","No","No",82,66.91,297.3,72.08,29.88,56.47,70.914,-0.349,0.154,0.203,0.399,-0.099
"353","No","No",80,60.14,302.8,65.02,28.73,55.79,70.794,0.094,0.226,0.35,-0.081,-0.138
"356","No","No",88,63.65,292.5,65.03,29.22,59.03,71.098,0.018,0.143,0.378,-0.13,-0.123
"357","No","No",95,63.89,289,64.35,28.69,59.08,70.932,0.276,-0.068,0.143,-0.225,-0.262
"360","No","No",84,65.68,296.6,69.72,29.86,55.96,70.736,-0.569,0.29,0.209,0.553,0.097
"361","No","No",60,57.74,291.8,65,29.27,54.23,71.961,-0.392,-0.558,-0.061,-0.053,-0.052
"363","No","No",81,57.04,297.6,67.89,29.65,55.51,70.811,-0.32,0.02,0.049,0.375,-0.084
"364","No","No",96,56.57,299.7,65.62,29.14,60.86,70.719,-0.07,0.27,-0.008,0.373,-0.025
"365","No","No",86,55.19,302.6,65.17,28.68,63.8,70.869,0.498,0.178,0.076,-0.392,-0.003
"366","No","No",84,59.91,297.2,66.19,29.06,57.52,70.801,0.107,0.422,0.252,0.118,-0.101
"367","No","No",67,60.09,302.7,63.84,28.97,57.56,71.479,-0.207,-0.233,0.211,-0.073,-0.164
"368","Yes","Yes",59,59.47,300,67.56,28.96,58.41,69.958,-0.022,1.045,0.442,0.468,0.157
"370","Yes","No",65,54.87,292.7,65.9,29.31,54.89,71.465,0.066,-0.154,-0.555,0.147,0.188
"371","Yes","No",85,49.12,295.3,64.54,28.9,57.25,71.061,0.176,0.026,-0.637,0.114,0.374
"373","No","No",94,62.06,296.3,68.79,29.02,56.44,70.421,0.074,0.497,0.332,0.283,-0.192
"376","No","No",80,55.92,288.4,58.84,29.13,55.13,72.253,-0.392,-1.222,-0.236,-0.447,0.11
"377","No","No",108,60.68,290.8,63.78,29,57.23,71.367,-0.168,-0.092,-0.014,-0.2,0.291
"379","Yes","No",53,63.23,278,63,27.96,66.01,69.996,0.62,0.721,-0.44,-0.003,0.544
"384","Yes","Yes",89,59.36,292.4,65.26,29.06,59.74,70.856,0.186,0.004,-0.009,-0.121,-0.053
"386","No","No",89,56.72,293.1,63.2,29.24,52.4,71.954,-0.235,-1.041,-0.488,-0.094,-0.225
"387","No","No",68,59.35,303.6,67.4,28.49,64.16,69.35,0.266,1.596,0.061,0.883,0.385
"388","No","No",83,58.84,292.2,66.03,28.9,58.59,70.812,0.005,0.415,0.035,0.456,-0.08
"390","Yes","No",73,64.98,306.9,69.36,29.3,55.77,69.342,0.324,1.606,0.58,0.405,0.296
"391","No","No",106,54.3,309,67.61,29.11,56.15,70.281,-0.006,0.628,0.383,0.224,0.027
"393","No","No",106,57.53,309.2,68.96,29.26,59.38,69.987,-0.133,1.147,0.826,0.39,0.065
"394","Yes","Yes",105,55.09,315.1,70.18,29.03,57.22,69.52,0.232,1.435,0.481,0.5,0.222
"395","No","No",75,54.94,318.3,65.38,29.13,54.42,70.815,0.072,-0.072,0.506,-0.442,-0.207
"397","Yes","No",77,60.89,287.2,63.13,28.61,57.93,71.674,0.244,-0.364,-0.303,-0.138,-0.166
"400","Yes","No",105,52.91,288,64.81,29.15,60.84,71.189,-0.078,-0.054,-0.5,0.544,-0.019
"402","Yes","No",58,61.84,298.8,66.46,29.2,62.58,70.091,0.335,0.938,0.148,0.202,0.252
"405","Yes","No",78,60.06,290.6,66.24,29.15,60.97,70.761,-0.511,0.302,0.152,0.42,0.241
"406","No","No",72,56.73,289.8,62.73,29.01,56.52,71.057,-0.093,0.128,0.023,-0.01,0.209
"408","Yes","Yes",102,65.51,286.2,65.26,28.52,65.15,70.018,0.049,0.945,-0.036,0.503,0.426
"409","No","No",95,62.34,293.7,67.93,28.47,66.1,69.293,0.692,1.432,-0.116,0.486,0.37
"410","No","No",95,57.89,279.6,60.92,28.12,61.5,71.062,0.34,0.167,-0.899,0.421,0.141
"412","No","No",74,54.32,289.4,62.09,28.12,62.07,70.964,0.443,-0.232,-0.665,-0.148,0.163
"413","No","No",93,61.11,285.8,63.55,28.7,58.56,71.477,0.427,-0.437,-0.748,0.03,-0.146
"414","No","No",84,60.81,285.6,66.39,29.58,57.23,71.402,-0.479,-0.304,0.032,0.072,0.072
